cluster_id,country,date_d,lat_d,lon_d,future_date,future_lat,future_lon,delta_lat,delta_lon,delta_lat_km,delta_lon_km,movement_km,days_gap,wind_speed,wind_direction,humidity,wind_u,wind_v,env_source
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-23,53.42,49.02,0.332458,-0.425011,36.9,-28.33,46.53,6,4.04,190.3,70.2,-3.9749,-0.7224,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-23,52.9505,49.6025,-0.137085,0.157475,-15.22,10.5,18.49,6,5.89,183.6,64.6,-5.8784,-0.3698,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-23,52.9809,49.6882,-0.10664,0.243169,-11.84,16.21,20.07,6,5.99,253.7,63.4,-1.6812,-5.7492,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-26,53.1526,49.269,0.065017,-0.175975,7.22,-11.73,13.77,9,4.13,167.6,64.6,-4.0337,0.8869,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-30,53.2274,50.0299,0.139888,0.584916,15.53,38.99,41.97,13,3.59,66.1,58.9,1.4545,3.2822,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,52.8498,49.8168,-0.237743,0.371833,-26.39,24.79,36.21,15,2.14,129.1,71.7,-1.3496,1.6607,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,53.0397,49.7708,-0.047855,0.325779,-5.31,21.72,22.36,15,1.52,101.1,79.4,-0.2926,1.4916,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,52.9978,49.878,-0.08977,0.432956,-9.96,28.86,30.54,15,2.74,204.7,61.7,-2.4893,-1.145,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,52.8503,49.0751,-0.237277,-0.369881,-26.34,-24.66,36.08,15,2.17,207.8,64.3,-1.9195,-1.0121,realistic_synthetic
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,53.1181,49.8896,0.030582,0.444635,3.39,29.64,29.84,15,3.83,158.0,65.8,-3.5511,1.4347,realistic_synthetic
0,Russian Federation,2018-07-17,53.3949,49.0569,2018-07-23,53.42,49.02,0.025102,-0.036908,2.79,-2.44,3.71,6,2.07,329.7,70.3,1.7872,-1.0444,realistic_synthetic
0,Russian Federation,2018-07-17,53.3949,49.0569,2018-07-26,53.1526,49.269,-0.242339,0.212128,-26.9,14.04,30.34,9,1.25,257.6,66.9,-0.2684,-1.2208,realistic_synthetic
0,Russian Federation,2018-07-23,53.42,49.02,2018-07-26,53.1526,49.269,-0.267441,0.249036,-29.69,16.47,33.95,3,3.53,62.8,60.9,1.6136,3.1396,realistic_synthetic
0,Russian Federation,2018-07-23,53.42,49.02,2018-08-09,53.3783,49.0908,-0.041663,0.070837,-4.62,4.69,6.58,17,3.5,251.7,68.5,-1.099,-3.323,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-07-26,53.1526,49.269,0.202102,-0.33345,22.43,-22.3,31.63,3,2.94,178.9,61.1,-2.9395,0.0564,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-07-30,53.2274,50.0299,0.276973,0.427441,30.74,28.59,41.98,7,1.85,167.8,76.2,-1.8082,0.391,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,52.8498,49.8168,-0.100658,0.214358,-11.17,14.34,18.18,9,3.77,76.6,68.9,0.8737,3.6674,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,53.0397,49.7708,0.08923,0.168304,9.9,11.26,14.99,9,2.46,152.6,72.4,-2.184,1.1321,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,52.9978,49.878,0.047315,0.275481,5.25,18.42,19.16,9,5.01,265.2,62.0,-0.4192,-4.9924,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,52.8503,49.0751,-0.100192,-0.527356,-11.12,-35.27,36.98,9,2.59,223.2,74.0,-1.888,-1.773,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,53.1181,49.8896,0.167667,0.28716,18.61,19.2,26.74,9,2.29,187.0,64.2,-2.2729,-0.2791,realistic_synthetic
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-09,53.0527,49.8071,0.102212,0.204623,11.35,13.68,17.78,17,1.0,256.9,80.9,-0.2267,-0.974,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-07-26,53.1526,49.269,0.171657,-0.419144,19.05,-28.01,33.88,3,3.02,270.2,70.1,0.0105,-3.02,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-07-30,53.2274,50.0299,0.246528,0.341747,27.36,22.84,35.64,7,1.99,225.3,78.2,-1.3998,-1.4145,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,52.8498,49.8168,-0.131103,0.128664,-14.55,8.6,16.9,9,3.09,309.5,55.1,1.9655,-2.3843,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,53.0397,49.7708,0.058785,0.08261,6.53,5.52,8.55,9,4.63,206.1,65.0,-4.1579,-2.0369,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,52.9978,49.878,0.01687,0.189787,1.87,12.68,12.82,9,3.32,60.9,66.8,1.6146,2.9009,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,52.8503,49.0751,-0.130637,-0.61305,-14.5,-40.97,43.46,9,3.79,303.5,64.7,2.0918,-3.1604,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,53.1181,49.8896,0.137222,0.201466,15.23,13.46,20.33,9,1.69,164.9,76.0,-1.6316,0.4403,realistic_synthetic
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-09,53.0527,49.8071,0.071767,0.118929,7.97,7.95,11.25,17,3.74,162.9,69.9,-3.5747,1.0997,realistic_synthetic
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,52.8498,49.8168,-0.30276,0.547808,-33.61,36.46,49.59,6,3.32,267.8,64.3,-0.1274,-3.3176,realistic_synthetic
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,53.0397,49.7708,-0.112872,0.501754,-12.53,33.4,35.67,6,2.56,172.6,61.9,-2.5387,0.3297,realistic_synthetic
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,52.9978,49.878,-0.154787,0.608931,-17.18,40.53,44.02,6,3.68,218.3,67.4,-2.888,-2.2808,realistic_synthetic
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,52.8503,49.0751,-0.302294,-0.193906,-33.55,-12.91,35.95,6,2.73,100.9,66.7,-0.5162,2.6807,realistic_synthetic
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,53.1181,49.8896,-0.034435,0.62061,-3.82,41.31,41.49,6,2.53,143.8,68.4,-2.0416,1.4942,realistic_synthetic
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-09,53.3783,49.0908,0.225778,-0.178199,25.06,-11.86,27.73,14,3.88,332.0,68.0,3.4258,-1.8215,realistic_synthetic
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-09,53.0527,49.8071,-0.09989,0.538073,-11.09,35.82,37.49,14,3.61,194.8,57.9,-3.4902,-0.9222,realistic_synthetic
0,Russian Federation,2018-07-30,53.2274,50.0299,2018-08-01,52.8498,49.8168,-0.377631,-0.213083,-41.92,-14.16,44.24,2,3.1,204.2,80.5,-2.8276,-1.2708,realistic_synthetic
0,Russian Federation,2018-07-30,53.2274,50.0299,2018-08-01,53.0397,49.7708,-0.187743,-0.259137,-20.84,-17.22,27.03,2,2.8,221.1,68.5,-2.11,-1.8407,realistic_synthetic
0,Russian Federation,2018-07-30,53.2274,50.0299,2018-08-01,52.9978,49.878,-0.229658,-0.15196,-25.49,-10.1,27.42,2,1.05,280.0,77.6,0.1823,-1.034,realistic_synthetic
0,Russian Federation,2018-07-30,53.2274,50.0299,2018-08-01,53.1181,49.8896,-0.109306,-0.140281,-12.13,-9.32,15.3,2,4.57,136.3,73.5,-3.304,3.1573,realistic_synthetic
0,Russian Federation,2018-07-30,53.2274,50.0299,2018-08-09,53.0527,49.8071,-0.174761,-0.222818,-19.4,-14.81,24.4,10,0.63,241.1,86.9,-0.3045,-0.5515,realistic_synthetic
0,Russian Federation,2018-08-01,52.8498,49.8168,2018-08-09,53.0527,49.8071,0.20287,-0.009735,22.52,-0.65,22.53,8,0.87,160.4,75.2,-0.8196,0.2918,realistic_synthetic
0,Russian Federation,2018-08-01,53.0397,49.7708,2018-08-09,53.0527,49.8071,0.012982,0.036319,1.44,2.42,2.82,8,1.75,91.5,71.6,-0.0458,1.7494,realistic_synthetic
0,Russian Federation,2018-08-01,52.9978,49.878,2018-08-09,53.0527,49.8071,0.054897,-0.070858,6.09,-4.73,7.72,8,0.74,233.2,70.7,-0.4433,-0.5925,realistic_synthetic
0,Russian Federation,2018-08-01,53.1181,49.8896,2018-08-09,53.0527,49.8071,-0.065455,-0.082537,-7.27,-5.5,9.11,8,5.45,145.2,64.4,-4.4753,3.1104,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-07-26,54.5675,62.9776,-0.001128,-0.686669,-0.13,-44.19,44.19,6,4.61,113.8,67.6,-1.8603,4.218,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-01,54.2915,63.5764,-0.277114,-0.087862,-30.76,-5.65,31.27,12,5.5,87.5,66.9,0.2399,5.4948,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-01,54.3542,63.3607,-0.214431,-0.303594,-23.8,-19.54,30.79,12,3.62,254.7,61.3,-0.9552,-3.4917,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-01,54.3367,64.0042,-0.231874,0.339932,-25.74,21.87,33.78,12,0.77,236.5,76.7,-0.425,-0.6421,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-01,54.3038,63.3531,-0.264838,-0.311167,-29.4,-20.02,35.57,12,3.6,224.3,64.1,-2.5765,-2.5143,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-01,54.3614,64.2381,-0.207176,0.573783,-23.0,36.92,43.5,12,3.57,220.5,63.9,-2.7146,-2.3185,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.6764,63.5873,0.10778,-0.076965,11.96,-4.95,12.95,14,6.51,233.2,59.6,-3.8996,-5.2128,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.6718,63.4212,0.103162,-0.243045,11.45,-15.64,19.38,14,4.33,131.8,70.7,-2.8861,3.2279,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.6207,63.2586,0.052095,-0.405633,5.78,-26.1,26.74,14,5.24,142.6,70.9,-4.1627,3.1826,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.689,63.8413,0.120355,0.177038,13.36,11.39,17.56,14,3.89,257.5,76.6,-0.842,-3.7978,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.7741,64.1568,0.205515,0.49257,22.81,31.7,39.05,14,2.71,147.2,64.4,-2.2779,1.468,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.3423,64.1099,-0.226276,0.445634,-25.12,28.68,38.12,14,1.68,194.6,73.2,-1.6258,-0.4235,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.6565,63.8735,0.087901,0.209238,9.76,13.46,16.63,14,3.65,257.9,67.5,-0.7651,-3.5689,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.652,64.0146,0.083404,0.350274,9.26,22.54,24.37,14,5.77,181.5,79.4,-5.768,-0.151,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.6264,64.0867,0.05777,0.422399,6.41,27.18,27.93,14,4.28,140.0,61.4,-3.2787,2.7511,realistic_synthetic
1,Russian Federation,2018-07-20,54.5686,63.6643,2018-08-03,54.3582,63.2748,-0.210374,-0.389488,-23.35,-25.06,34.26,14,4.02,184.4,70.6,-4.0082,-0.3084,realistic_synthetic
1,Russian Federation,2018-07-26,54.5675,62.9776,2018-08-01,54.2915,63.5764,-0.275986,0.598807,-30.63,38.53,49.23,6,4.0,194.9,62.8,-3.8655,-1.0285,realistic_synthetic
1,Russian Federation,2018-07-26,54.5675,62.9776,2018-08-01,54.3542,63.3607,-0.213303,0.383075,-23.68,24.65,34.18,6,0.5,168.7,81.0,-0.4903,0.098,realistic_synthetic
1,Russian Federation,2018-07-26,54.5675,62.9776,2018-08-01,54.3038,63.3531,-0.26371,0.375502,-29.27,24.16,37.96,6,3.54,112.8,68.4,-1.3718,3.2634,realistic_synthetic
1,Russian Federation,2018-07-26,54.5675,62.9776,2018-08-03,54.6764,63.5873,0.108908,0.609704,12.09,39.24,41.06,8,3.84,138.1,68.0,-2.8582,2.5645,realistic_synthetic
1,Russian Federation,2018-07-26,54.5675,62.9776,2018-08-03,54.6718,63.4212,0.10429,0.443624,11.58,28.55,30.81,8,3.25,120.0,69.7,-1.625,2.8146,realistic_synthetic
1,Russian Federation,2018-07-26,54.5675,62.9776,2018-08-03,54.6207,63.2586,0.053223,0.281036,5.91,18.09,19.03,8,4.16,275.8,72.1,0.4204,-4.1387,realistic_synthetic
1,Russian Federation,2018-07-26,54.5675,62.9776,2018-08-03,54.3582,63.2748,-0.209246,0.297181,-23.23,19.12,30.09,8,0.67,134.4,78.3,-0.4688,0.4787,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.6764,63.5873,0.384894,0.010897,42.72,0.71,42.73,2,3.58,236.1,86.8,-1.9967,-2.9714,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.6718,63.4212,0.380276,-0.155183,42.21,-10.05,43.39,2,3.68,279.5,72.1,0.6074,-3.6295,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.6207,63.2586,0.329209,-0.317771,36.54,-20.59,41.94,2,3.83,177.9,71.0,-3.8274,0.1403,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.689,63.8413,0.397469,0.2649,44.12,17.16,47.34,2,1.26,183.4,70.5,-1.2578,-0.0747,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.3423,64.1099,0.050838,0.533496,5.64,34.56,35.02,2,2.8,2.0,59.4,2.7983,0.0977,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.6565,63.8735,0.365015,0.2971,40.52,19.25,44.86,2,3.89,87.1,64.8,0.1968,3.885,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.652,64.0146,0.360518,0.438136,40.02,28.39,49.06,2,4.62,204.5,61.1,-4.204,-1.9159,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.6264,64.0867,0.334884,0.510261,37.17,33.06,49.75,2,1.37,247.6,68.9,-0.5221,-1.2666,realistic_synthetic
1,Russian Federation,2018-08-01,54.2915,63.5764,2018-08-03,54.3582,63.2748,0.06674,-0.301626,7.41,-19.54,20.9,2,3.05,203.2,65.0,-2.8034,-1.2015,realistic_synthetic
1,Russian Federation,2018-08-01,54.3542,63.3607,2018-08-03,54.6764,63.5873,0.322211,0.226629,35.77,14.66,38.65,2,6.51,244.4,55.5,-2.8129,-5.8709,realistic_synthetic
1,Russian Federation,2018-08-01,54.3542,63.3607,2018-08-03,54.6718,63.4212,0.317593,0.060549,35.25,3.92,35.47,2,2.99,153.7,72.6,-2.6805,1.3248,realistic_synthetic
